variant,scenario,contact_index,geom1_id,geom1_name,geom2_id,geom2_name,body1_name,body2_name,contact_pos_x,contact_pos_y,contact_pos_z,contact_dist,normal_force,force_x,force_y,force_z,classified_side,classified_region,is_floor_contact
simple_toe_center_heel,backward_pitch,10,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.013361340510803118,0.17834461645772964,-0.0034686421486765165,-0.006937284297353033,21.500725573495185,21.500725573495185,-1.1532585478132251,2.1989302253811047,left,heel,True
simple_toe_center_heel,backward_pitch,11,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,0.020033337003883062,0.1786100724718149,-0.0016189768549883456,-0.003237953709976691,0.0,0.0,0.0,0.0,left,heel,True
simple_toe_center_heel,backward_pitch,12,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,0.006644815240305312,0.11050162722241039,-0.002323812065351604,-0.004647624130703208,0.010934804723731565,0.010934804723731565,0.0,-0.010934804723731565,left,center,True
simple_toe_center_heel,backward_pitch,13,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,0.04838816213366304,0.11083344724001692,-1.1730448241390346e-05,-2.3460896482780692e-05,0.0,0.0,0.0,0.0,left,center,True
simple_toe_center_heel,backward_pitch,14,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,0.006100325902929023,0.1808993895137571,-0.002391995150723372,-0.004783990301446744,1.3219151092214483,1.3219151092214483,0.0,1.3219151092214483,left,center,True
simple_toe_center_heel,backward_pitch,15,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,0.04784367279628675,0.18123120953136365,-7.991353361315803e-05,-0.00015982706722631607,0.0,0.0,0.0,0.0,left,center,True
simple_toe_center_heel,backward_pitch,16,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,0.03584659592915426,0.11313382494921272,-0.0007076793567393908,-0.0014153587134787815,0.0,0.0,0.0,0.0,left,toe,True
simple_toe_center_heel,backward_pitch,17,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,0.0353392308647809,0.17873173981160395,-0.0007712135953812649,-0.0015424271907625298,0.0,0.0,0.0,0.0,left,toe,True
simple_toe_center_heel,left_support_roll,0,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.0710312641108417,-0.1419519859782678,-0.007350073092434963,-0.014700146184869926,20.597689102994487,20.597689102994487,10.414165088151046,0.5351216576994986,right,heel,True
simple_toe_center_heel,left_support_roll,1,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.03744699299687522,-0.14149973109022407,-0.00781164628810335,-0.0156232925762067,11.45813802306434,11.45813802306434,2.321978544957401,0.838477970343023,right,heel,True
simple_toe_center_heel,left_support_roll,2,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.07175517387558576,-0.07660229131855142,-0.0045104708960724185,-0.009020941792144837,0.0,0.0,0.0,0.0,right,heel,True
simple_toe_center_heel,left_support_roll,3,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.03817090276161929,-0.07615003643050772,-0.004972044091740806,-0.009944088183481612,0.0,0.0,0.0,0.0,right,heel,True
simple_toe_center_heel,left_support_roll,4,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.05141395479077305,-0.14407901311445956,-0.007723212008474303,-0.015446424016948606,27.292868981224554,27.292868981224554,5.770945962835237,1.3940043704556597,right,center,True
simple_toe_center_heel,left_support_roll,5,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.009433615898314957,-0.14351369450440493,-0.008300178503059788,-0.016600357006119577,16.156731472946646,16.156731472946646,-4.632588557791269,1.7731997612602384,right,center,True
simple_toe_center_heel,left_support_roll,6,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.05219083356269351,-0.07394763347964199,-0.0046758340416462076,-0.009351668083292415,0.0,0.0,0.0,0.0,right,center,True
simple_toe_center_heel,left_support_roll,7,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.010210494670235416,-0.07338231486958736,-0.005252800536231693,-0.010505601072463386,0.0,0.0,0.0,0.0,right,center,True
simple_toe_center_heel,left_support_roll,8,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,-0.022054202069640583,-0.1412924475998707,-0.008023200669451358,-0.016046401338902717,7.3748876033620725,7.3748876033620725,-1.492650779272234,0.9775162803047381,right,toe,True
simple_toe_center_heel,left_support_roll,9,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,0.01153006904432589,-0.14084019271182702,-0.008484773865119746,-0.016969547730239492,4.7811642927306055,4.7811642927306055,-4.524233597071549,0.2569306956590566,right,toe,True
simple_toe_center_heel,left_support_roll,10,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,-0.022778111834384645,-0.07594275294015435,-0.005183598473088814,-0.010367196946177628,0.0,0.0,0.0,0.0,right,toe,True
simple_toe_center_heel,left_support_roll,11,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,0.010806159279581829,-0.07549049805211064,-0.005645171668757202,-0.011290343337514403,0.0,0.0,0.0,0.0,right,toe,True
simple_toe_center_heel,right_support_roll,0,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.07385462467086985,0.07455953789480299,-0.004536015750794946,-0.009072031501589892,0.0,0.0,0.0,0.0,left,heel,True
simple_toe_center_heel,right_support_roll,1,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.04026955073769445,0.07473907435385141,-0.005028604718143724,-0.010057209436287448,0.0,0.0,0.0,0.0,left,heel,True
simple_toe_center_heel,right_support_roll,2,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.07437327912221885,0.1399029569680569,-0.007422561323673282,-0.014845122647346564,20.17430036646144,20.17430036646144,-9.075398061712782,0.22817730386335455,left,heel,True
simple_toe_center_heel,right_support_roll,3,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.04078820518904344,0.14008249342710533,-0.00791515029102206,-0.01583030058204412,11.578398242054966,11.578398242054966,-2.103065796949866,0.7307629596494372,left,heel,True
simple_toe_center_heel,right_support_roll,4,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.05424435638032997,0.07227365460299065,-0.004717753989244724,-0.009435507978489448,0.0,0.0,0.0,0.0,left,center,True
simple_toe_center_heel,right_support_roll,5,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.012263013963860717,0.07249807517680118,-0.005333490198430697,-0.010666980396861394,0.0,0.0,0.0,0.0,left,center,True
simple_toe_center_heel,right_support_roll,6,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.054800961157387425,0.14239829946209243,-0.007815510213797084,-0.015631020427594167,27.411132019342404,27.411132019342404,-5.0020675809161075,1.1141234585276711,left,center,True
simple_toe_center_heel,right_support_roll,7,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.012819618740918172,0.14262272003590293,-0.008431246422983056,-0.016862492845966113,16.666254363834874,16.666254363834874,3.713347750037759,1.7423555282603846,left,center,True
simple_toe_center_heel,right_support_roll,8,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,-0.024876391851655726,0.07482136189758196,-0.005254374661511916,-0.010508749323023831,0.0,0.0,0.0,0.0,left,toe,True
simple_toe_center_heel,right_support_roll,9,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,0.008708682081519672,0.07500089835663037,-0.0057469636288606935,-0.011493927257721387,0.0,0.0,0.0,0.0,left,toe,True
